Time,True_theta,True_theta_dot,Meas_theta,Meas_theta_dot,Est_theta,Est_theta_dot
2.76,-0.0513703,-0.174745,-0.0455782,0.266875,-0.0684189,-0.131908
2.77,-0.0530869,-0.168545,-0.444711,0.173217,-0.070367,-0.113168
2.78,-0.0547408,-0.16222,-0.828233,-0.250752,-0.072914,-0.092946
2.79,-0.0563309,-0.155775,0.49898,0.0574687,-0.0754383,-0.0882822
2.8,-0.0578559,-0.149219,-0.684051,0.775192,-0.0750662,-0.0788988
2.81,-0.0593149,-0.142557,0.0433933,-1.01236,-0.0790077,-0.0525626
2.82,-0.0607067,-0.135797,-0.0927603,-0.396336,-0.0773019,-0.0622495
2.83,-0.0620305,-0.128947,-0.519896,-0.0122664,-0.0772666,-0.0613165
2.84,-0.0632854,-0.122014,-0.31361,0.454179,-0.0790717,-0.0536766
2.85,-0.0644706,-0.115005,0.608597,0.0927336,-0.0811487,-0.0375198
2.86,-0.0655853,-0.107926,0.0164837,-0.335293,-0.0799492,-0.0294864
2.87,-0.0666289,-0.100787,0.091308,-0.656155,-0.0793542,-0.0283324
2.88,-0.0676008,-0.0935936,0.163217,0.144287,-0.0779355,-0.033498
2.89,-0.0685006,-0.0863536,0.144147,0.225064,-0.0779239,-0.0209896
2.9,-0.0693278,-0.0790744,0.262668,-0.335665,-0.0779594,-0.0058454
2.91,-0.070082,-0.0717633,0.0387951,-0.376201,-0.0764097,0.00055991
2.92,-0.070763,-0.0644277,-0.294721,0.302397,-0.0753293,0.000398414
2.93,-0.0713705,-0.0570749,0.781474,-0.820592,-0.0764111,0.0153719
2.94,-0.0719044,-0.0497122,0.244689,0.197388,-0.0723571,0.00882463
2.95,-0.0723647,-0.0423468,0.915284,0.0898273,-0.0717851,0.0162413
2.96,-0.0727514,-0.0349861,-0.614104,0.858569,-0.0691611,0.0245246
2.97,-0.0730645,-0.0276371,-0.794604,-0.73402,-0.0719189,0.0429987
2.98,-0.0733042,-0.0203069,0.0349283,-0.354424,-0.0717924,0.037937
2.99,-0.0734707,-0.0130027,-0.757922,0.0115579,-0.0703547,0.0340839
3,-0.0735643,-0.0057314,0.33616,-0.840837,-0.0717051,0.0401902
3.01,-0.0735855,0.00150012,0.41404,-0.340525,-0.0684778,0.0332731
3.02,-0.0735345,0.00868502,0.296827,0.771553,-0.0660927,0.0378245
3.03,-0.0734119,0.0158166,0.378227,0.00135801,-0.0661813,0.0534095
3.04,-0.0732184,0.0228881,0.221364,-0.199314,-0.0643826,0.0545364
3.05,-0.0729544,0.0298931,-0.479542,0.203343,-0.0625321,0.0605602
3.06,-0.0726207,0.0368251,-0.0336974,0.771193,-0.0632525,0.0676251
3.07,-0.0722182,0.0436778,-0.495882,0.0263204,-0.0638774,0.0785978
3.08,-0.0717475,0.050445,-0.047081,-0.298125,-0.0640607,0.0846832
3.09,-0.0712096,0.0571207,1.04937,-0.925191,-0.0623904,0.0833663
3.1,-0.0706054,0.0636988,0.561867,-0.391842,-0.0566334,0.0782845
3.11,-0.0699359,0.0701735,-0.281731,1.40117,-0.0532947,0.0762588
3.12,-0.0692023,0.0765392,0.693817,0.0887323,-0.0556865,0.10124
3.13,-0.0684055,0.0827902,0.162811,0.0223715,-0.0527098,0.101403
3.14,-0.0675469,0.0889213,-0.117623,0.617516,-0.0509505,0.105196
3.15,-0.0666275,0.0949272,0.0793534,0.255107,-0.0510142,0.12193
3.16,-0.0656488,0.100803,0.298244,-0.0811883,-0.0496874,0.128795
3.17,-0.0646119,0.106543,-0.735953,-0.542902,-0.0470867,0.126189
3.18,-0.0635184,0.112143,0.224198,-0.00808311,-0.0462529,0.122628
3.19,-0.0623695,0.117599,0.637388,-0.0791145,-0.044053,0.123581
3.2,-0.0611669,0.122905,-0.342854,0.661785,-0.0406355,0.123948
3.21,-0.0599119,0.128059,-0.141962,0.428776,-0.0412161,0.134797
3.22,-0.0586062,0.133054,-0.238588,-0.0142013,-0.0406931,0.141414
3.23,-0.0572514,0.137889,-0.249168,-0.0724274,-0.0394751,0.141097
3.24,-0.055849,0.142558,-0.527497,-0.0691643,-0.0381483,0.144019
3.25,-0.0544008,0.147059,-0.380632,0.572754,-0.0375423,0.143279
3.26,-0.0529084,0.151388,-0.409115,-0.556733,-0.0378283,0.151791
3.27,-0.0513736,0.155542,0.244134,0.788565,-0.035884,0.141346
3.28,-0.0497982,0.159518,-0.14372,0.372087,-0.0349933,0.154672
3.29,-0.0481838,0.163313,-0.471937,0.753116,-0.0341326,0.16154
3.3,-0.0465325,0.166925,0.0256269,-0.528828,-0.0348004,0.172313
3.31,-0.044846,0.170351,0.301956,-1.07498,-0.031553,0.161431
3.32,-0.0431261,0.173589,0.421451,0.384534,-0.0266084,0.149573
3.33,-0.0413748,0.176637,-0.353627,-0.507495,-0.0244539,0.148043
3.34,-0.039594,0.179493,-0.00452848,-0.226087,-0.0225199,0.141522
3.35,-0.0377856,0.182156,-0.701764,-0.140121,-0.0203051,0.141078
3.36,-0.0359515,0.184624,0.459259,0.168061,-0.0201673,0.128604
3.37,-0.0340938,0.186896,0.0445964,0.378951,-0.0177033,0.131827
3.38,-0.0322143,0.188971,-0.506376,-0.410129,-0.0167109,0.135652
3.39,-0.030315,0.190849,-0.530275,0.257435,-0.0155381,0.129731
3.4,-0.028398,0.192528,-0.282041,-0.416892,-0.0158207,0.132337
3.41,-0.0264651,0.194008,0.478389,-0.66073,-0.014082,0.128405
3.42,-0.0245185,0.19529,0.461203,1.20442,-0.00997808,0.11695
3.43,-0.02256,0.196372,-0.199023,-0.0601428,-0.00972421,0.133332
3.44,-0.0205917,0.197256,0.0844204,-0.540975,-0.00852168,0.127996
3.45,-0.0186155,0.197941,0.794428,0.511412,-0.00565538,0.123352
3.46,-0.0166335,0.198429,0.695204,-0.4879,-0.00312849,0.127508
3.47,-0.0146476,0.198719,-0.0226633,1.44914,0.00119023,0.123251
3.48,-0.0126598,0.198813,0.0364141,0.0652584,-0.000201032,0.148721
